Date,git,SubVersion,CVS,Azure
2004-02,0,0,94,9
2004-03,46,11,34,0
2004-04,9,36,64,0
2004-05,8,31,31,0
2004-06,0,15,38,0
2004-07,0,34,76,8
2004-08,7,22,79,0
2004-09,7,0,76,0
2004-10,0,14,79,0
2004-11,0,14,76,0
2004-12,0,20,100,7
2005-01,11,11,27,0
2005-02,0,24,89,6
2005-03,11,11,47,5
2005-04,0,17,23,6
2005-05,10,5,56,5
2005-06,0,36,41,5
2005-07,0,16,27,0
2005-08,0,25,74,5
2005-09,5,32,28,0
2005-10,5,14,36,5
2005-11,9,39,39,0
2005-12,0,13,48,4
2006-01,4,33,36,0
2006-02,4,44,12,0
2006-03,3,17,45,0
2006-04,0,42,38,0
2006-05,0,17,23,0
2006-06,4,26,33,4
2006-07,0,23,43,15
2006-08,6,32,52,3
2006-09,3,23,26,0
2006-10,3,18,30,3
2006-11,3,20,25,3
2006-12,12,31,21,6
2007-01,5,23,40,3
2007-02,11,30,14,8
2007-03,7,22,34,0
2007-04,0,41,25,3
2007-05,5,18,34,5
2007-06,2,26,23,7
2007-07,10,27,15,5
2007-08,9,20,36,2
2007-09,2,20,24,4
2007-10,2,30,16,0
2007-11,8,25,19,6
2007-12,26,24,19,0
2008-01,4,22,13,6
2008-02,17,16,23,8
2008-03,5,11,20,5
2008-04,9,11,18,5
2008-05,20,24,11,2
2008-06,16,20,31,0
2008-07,16,18,26,10
2008-08,16,10,19,0
2008-09,11,5,14,0
2008-10,11,25,25,15
2008-11,9,17,17,0
2008-12,11,13,14,4
2009-01,19,5,16,6
2009-02,22,20,19,9
2009-03,18,5,21,8
2009-04,15,17,22,7
2009-05,18,19,22,3
2009-06,16,10,8,8
2009-07,13,7,13,12
2009-08,26,15,11,10
2009-09,15,18,12,8
2009-10,20,10,9,4
2009-11,21,23,23,4
2009-12,18,9,21,5
2010-01,19,11,12,4
2010-02,13,22,12,4
2010-03,28,15,7,5
2010-04,23,6,4,9
2010-05,12,12,10,0
2010-06,15,22,9,6
2010-07,19,13,10,10
2010-08,18,27,7,3
2010-09,19,13,13,1
2010-10,29,8,5,10
2010-11,29,13,10,4
2010-12,25,5,7,7
2011-01,18,5,7,9
2011-02,25,5,11,6
2011-03,39,12,12,5
2011-04,33,3,8,8
2011-05,35,10,7,3
2011-06,24,12,6,5
2011-07,29,7,10,14
2011-08,30,5,14,6
2011-09,29,5,9,12
2011-10,23,15,7,9
2011-11,27,9,8,11
2011-12,33,5,9,5
2012-01,31,7,9,12
2012-02,37,6,10,9
2012-03,31,7,7,4
2012-04,33,7,6,10
2012-05,39,12,5,9
2012-06,39,7,6,10
2012-07,45,8,7,13
2012-08,39,6,6,12
2012-09,42,5,10,11
2012-10,47,5,3,8
2012-11,42,5,8,6
2012-12,33,4,8,9
2013-01,27,3,7,11
2013-02,34,5,4,8
2013-03,42,2,4,11
2013-04,41,5,4,9
2013-05,41,1,7,12
2013-06,39,2,6,8
2013-07,53,2,7,9
2013-08,40,4,4,6
2013-09,49,3,7,11
2013-10,41,8,1,8
2013-11,60,3,4,11
2013-12,53,3,3,11
2014-01,39,6,7,9
2014-02,46,5,5,17
2014-03,50,6,5,9
2014-04,46,5,1,9
2014-05,51,3,4,20
2014-06,50,6,4,12
2014-07,49,2,4,7
2014-08,46,4,4,18
2014-09,66,3,6,14
2014-10,54,7,5,10
2014-11,67,6,3,12
2014-12,44,5,3,15
2015-01,59,2,2,15
2015-02,59,4,4,21
2015-03,62,4,2,20
2015-04,58,2,4,17
2015-05,55,4,3,15
2015-06,65,8,4,20
2015-07,61,3,4,16
2015-08,62,2,3,8
2015-09,54,6,7,19
2015-10,74,2,7,20
2015-11,82,4,9,19
2015-12,61,2,7,19
2016-01,59,2,4,14
2016-02,77,1,4,21
2016-03,66,1,5,24
2016-04,74,3,4,29
2016-05,58,2,4,31
2016-06,70,1,4,28
2016-07,51,3,3,18
2016-08,65,0,2,19
2016-09,74,2,4,25
2016-10,66,0,2,29
2016-11,82,4,5,29
2016-12,69,3,4,24
2017-01,79,2,2,33
2017-02,82,1,2,23
2017-03,89,2,5,34
2017-04,82,3,5,28
2017-05,89,2,3,37
2017-06,81,1,5,28
2017-07,67,1,2,33
2017-08,72,1,5,38
2017-09,85,2,4,29
2017-10,80,0,4,40
2017-11,87,1,4,39
2017-12,63,1,5,27
2018-01,77,2,4,32
2018-02,78,2,5,36
2018-03,90,1,1,36
2018-04,81,1,3,35
2018-05,79,3,2,35
2018-06,83,2,4,34
2018-07,76,1,3,42
2018-08,73,2,4,35
2018-09,90,1,4,36
2018-10,85,2,2,55
2018-11,95,1,4,41
2018-12,68,1,4,49
2019-01,84,1,1,41
2019-02,73,3,7,55
2019-03,93,0,6,45
2019-04,88,1,4,50
2019-05,93,3,2,58
2019-06,83,1,3,60
2019-07,99,1,6,54
2019-08,83,2,4,45
2019-09,72,1,7,59
2019-10,100,3,7,56
2019-11,79,1,1,71
2019-12,60,1,1,55
2020-01,77,<1,2,60
2020-02,84,1,5,71
2020-03,78,3,3,60
2020-04,79,<1,3,76
2020-05,68,1,4,65
2020-06,80,1,3,68
2020-07,71,2,5,68
2020-08,69,<1,4,70
2020-09,82,0,7,73
2020-10,70,3,4,57
2020-11,54,<1,2,66
2020-12,53,1,4,48
2021-01,61,0,4,60
2021-02,62,1,4,69
2021-03,72,1,3,88
2021-04,67,2,2,66
